study_id,title,predicted_label,confidence,reasoning
1,Randomized trial of insulin glargine versus NPH insulin in type 2 diabetes,1,0.95,RCT comparing insulin analogues in type 2 diabetes
2,Observational study of diabetes management in elderly patients,0,0.88,Observational study design
3,Efficacy and safety of semaglutide in obesity without diabetes,0,0.92,Non-diabetic population
4,Systematic review of GLP-1 receptor agonists for cardiovascular outcomes,0,0.85,Systematic review, not primary RCT
5,Animal study of novel insulin analogue in mice,0,0.96,Animal study
6,Cost-effectiveness analysis of insulin pumps,0,0.78,Economic study, not clinical efficacy
7,Dulaglutide versus liraglutide in type 2 diabetes: a network meta-analysis,0,0.82,Meta-analysis
8,Case report: Severe hypoglycemia with insulin degludec,0,0.94,Case report
9,Long-term outcomes of basal insulin therapy: 5-year follow-up,0,0.76,Observational study
10,Study protocol: SMART insulin delivery system trial,0,0.89,Protocol without results
