Title_ai,Accession_Number,DOI_ai,clean_acc,Title_human,Accession Number,DOI_human
"Evaluation of Efficacy and Safety of HMR1964 (Insulin Glulisine) in Subjects With Type 1 Diabetes Mellitus; Insulin Lispro Controlled, Open, Randomized, Parallel Group, Non-inferiority Study, for 28 Weeks",NCT00290979,,NCT290979,"Evaluation of Efficacy and Safety of HMR1964 (Insulin Glulisine) in Subjects With Type 1 Diabetes Mellitus; Insulin Lispro Controlled, Open, Randomized, Parallel Group, Non-inferiority Study, for 28 Weeks",NCT00290979,
Faster insulin aspart (FiASP) vs. apart using an advanced closed-loop system: Extension study evaluating meal-time glucose control,,,,I8B-MC-ITRM,,
Faster acting insulin aspart (FiASP) vs. insulin aspart using an advanced closed-loop system in type 1 diabetes: 12-month free living study&#x0D; &#x0D,,,,I8B-MC-ITRM,,
Effect of stratification factors and baseline postprandial glucose on glycemic control after treatment with ultra rapid lispro or Humalog: subgroup analyses of PRONTO-T1D,CN-02288135,10.1055/s-0041-1727328,CN-2288135,Effect of stratification factors and baseline postprandial glucose on glycemic control after treatment with ultra rapid lispro or Humalog: subgroup analyses of PRONTO-T1D,CN-02288135,10.1055/s-0041-1727328
Efficacy and Safety of Faster Aspart Compared with Insulin Aspart both with Insulin Degludec in Adults with T1D,CN-01914665,10.4103/22308210.245111,CN-1914665,Efficacy and Safety of Faster Aspart Compared with Insulin Aspart both with Insulin Degludec in Adults with T1D,CN-01914665,10.4103/22308210.245111
Onset 1: efficacy and safety of mealtime fast-acting insulin aspart versus insulin aspart after 52 weeks,CN-01623237,10.1089/dia.2018.2525.abstracts,CN-1623237,Onset 1: efficacy and safety of mealtime fast-acting insulin aspart versus insulin aspart after 52 weeks,CN-01623237,10.1089/dia.2018.2525.abstracts
Investigating the Association Between Baseline Characteristics (HbA1c and Body Mass Index) and Clinical Outcomes of Fast-Acting Insulin Aspart in People with Diabetes: A Post Hoc Analysis,30547388,https://dx.doi.org/10.1007/s13300-018-0553-7,30547388,Investigating the Association Between Baseline Characteristics (HbA1c and Body Mass Index) and Clinical Outcomes of Fast-Acting Insulin Aspart in People with Diabetes: A Post Hoc Analysis,30547388,https://dx.doi.org/10.1007/s13300-018-0553-7
Ultra rapid lispro (URLI) improves postprandial glucose (PPG) control and time in range (TIR) in T1D compared to lispro: pronto-T1D continuous glucose monitoring (CGM) sub-study,CN-02217008,10.1089/dia.2020.2525.abstracts,CN-2217008,Ultra rapid lispro (URLI) improves postprandial glucose (PPG) control and time in range (TIR) in T1D compared to lispro: pronto-T1D continuous glucose monitoring (CGM) sub-study,CN-02217008,10.1089/dia.2020.2525.abstracts
Long-Term Efficacy and Safety of Ultra Rapid Lispro (URLi) in Adults with Type 1 Diabetes: The PRONTO-T1D Extension,33458803,https://dx.doi.org/10.1007/s13300-020-00987-8,33458803,Long-Term Efficacy and Safety of Ultra Rapid Lispro (URLi) in Adults with Type 1 Diabetes: The PRONTO-T1D Extension,33458803,https://dx.doi.org/10.1007/s13300-020-00987-8
"The impact of basal insulin type, prandial dosing plan, and baseline postprandial glucose (PPG) on glycemic control after treatment with ultra-rapid lispro (URLI) or humalog in type 1 diabetes: planned subgroup analyses from pronto-T1D",CN-02203854,10.2337/db20-1044-P,CN-2203854,"The impact of basal insulin type, prandial dosing plan, and baseline postprandial glucose (PPG) on glycemic control after treatment with ultra-rapid lispro (URLI) or humalog in type 1 diabetes: planned subgroup analyses from pronto-T1D",CN-02203854,10.2337/db20-1044-P
